symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
FLR,NYSE:FLR,Industrial services,Engineering & construction,Fluor Corporation,B,,False,1,2,3,54.42,W1 1/3：MA轉上 | D1 2/3：量價配合
FSLR,NASDAQ:FSLR,Electronic technology,Semiconductors,"First Solar, Inc.",B,,False,1,2,3,263.11,W1 1/3：MA轉上 | D1 2/3：量價配合
LYG,NYSE:LYG,Finance,Major banks,Lloyds Banking Group Plc,B,,False,2,1,3,5.74,W1 2/3：量價配合 | D1 1/3：MA轉上
MC,NYSE:MC,Finance,Investment banks/Brokers,Moelis & Company,B,,False,1,2,3,66.94,W1 1/3：跌K量低 | D1 2/3：量價配合
OKTA,NASDAQ:OKTA,Technology services,Packaged software,"Okta, Inc.",B,,False,1,2,3,115.94,W1 1/3：MA轉上 | D1 2/3：量價配合
PVH,NYSE:PVH,Consumer non-durables,Apparel/Footwear,PVH Corp.,B,,False,1,2,3,77.97,W1 1/3：跌K量低 | D1 2/3：量價配合
ROAD,NASDAQ:ROAD,Industrial services,Engineering & construction,"Construction Partners, Inc.",B,,False,1,2,3,127.05,W1 1/3：MA轉上 | D1 2/3：量價配合
RYTM,NASDAQ:RYTM,Health technology,Pharmaceuticals: major,"Rhythm Pharmaceuticals, Inc.",B,,False,2,1,3,101.39,W1 2/3：量價配合 | D1 1/3：MA轉上
SN,NYSE:SN,Consumer durables,Electronics/Appliances,"SharkNinja, Inc.",B,,False,1,2,3,138.56,W1 1/3：MA轉上 | D1 2/3：量價配合
WT,NYSE:WT,Miscellaneous,Investment trusts,"WisdomTree, Inc.",B,,False,1,2,3,18.66,W1 1/3：MA轉上 | D1 2/3：量價配合
AAP,NYSE:AAP,Retail trade,Specialty stores,Advance Auto Parts Inc.,B,,False,2,0,2,55.42,W1 2/3：量價配合 | D1 0/3：未達
AAPL,NASDAQ:AAPL,Electronic technology,Telecommunications equipment,Apple Inc.,B,,False,2,0,2,297.01,W1 2/3：量價配合 | D1 0/3：未達
ADEA,NASDAQ:ADEA,Technology services,Packaged software,Adeia Inc.,B,,False,0,2,2,31.81,W1 0/3：未達 | D1 2/3：量價配合
ADI,NASDAQ:ADI,Electronic technology,Semiconductors,"Analog Devices, Inc.",B,,False,0,2,2,445.48,W1 0/3：未達 | D1 2/3：量價配合
ALAB,NASDAQ:ALAB,Electronic technology,Semiconductors,"Astera Labs, Inc.",B,,False,0,2,2,439.66,W1 0/3：未達 | D1 2/3：量價配合
ALB,NYSE:ALB,Process industries,Chemicals: specialty,Albemarle Corporation,B,,False,2,0,2,156.69,W1 2/3：量價配合 | D1 0/3：未達
ALK,NYSE:ALK,Transportation,Airlines,"Alaska Air Group, Inc.",B,,False,0,2,2,48.8,W1 0/3：未達 | D1 2/3：量價配合
ALM,NASDAQ:ALM,Non-energy minerals,Other metals/Minerals,Almonty Industries Inc.,B,,False,2,0,2,18.66,W1 2/3：量價配合 | D1 0/3：未達
ANET,NYSE:ANET,Electronic technology,Computer peripherals,"Arista Networks, Inc.",B,,False,0,2,2,174.56,W1 0/3：未達 | D1 2/3：量價配合
ARM,NASDAQ:ARM,Electronic technology,Semiconductors,Arm Holdings plc,B,,False,2,0,2,407.72,W1 2/3：量價配合 | D1 0/3：未達
ARW,NYSE:ARW,Distribution services,Electronics distributors,"Arrow Electronics, Inc.",B,,False,2,0,2,234.83,W1 2/3：量價配合 | D1 0/3：未達
AUGO,NASDAQ:AUGO,Non-energy minerals,Other metals/Minerals,Aura Minerals Inc.,B,,False,0,2,2,65.26,W1 0/3：未達 | D1 2/3：量價配合
