symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
M,NYSE:M,Retail trade,Department stores,Macy's Inc,A,W1,True,2,1,3,24.05,W1 2/3：MA轉上；股跌日量低；大陽2根 | D1 1/3：股升日量高；大陽3根 | 跌市反向：3M 34.4% vs SPY 12.9% | 領先MA：股 $24.05 [10下/20上/50上] 2/3 vs SPY $738.13 [10下/20下/50上] 1/3
MARA,NASDAQ:MARA,Technology services,Data processing services,"MARA Holdings, Inc.",A,D1,True,1,2,3,15.15,W1 1/3：股跌日量低；大陽1根 | D1 2/3：MA轉上；股跌日量低；大陽3根 | 跌市反向：3M 70.0% vs SPY 12.9% | 領先MA：股 $15.15 [10上/20上/50上] 3/3 vs SPY $738.13 [10下/20下/50上] 1/3
MAS,NYSE:MAS,Producer manufacturing,Building products,Masco Corporation,A,W1,True,2,1,3,74.1,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 1/3：股跌日量低；大陽2根 | 跌市反向：3M 23.9% vs SPY 12.9% | 領先MA：股 $74.10 [10上/20上/50上] 3/3 vs SPY $737.98 [10下/20下/50上] 1/3
MLI,NYSE:MLI,Producer manufacturing,Metal fabrication,"Mueller Industries, Inc.",A,W1,True,2,1,3,136.57,W1 2/3：MA轉上；股跌日量低；大陽3根 | D1 1/3：MA轉上 | 跌市反向：3M 24.5% vs SPY 12.9% | 領先MA：股 $136.57 [10下/20上/50上] 2/3 vs SPY $737.98 [10下/20下/50上] 1/3
RAL,NYSE:RAL,Electronic technology,Electronic equipment/Instruments,Ralliant Corporation,A,W1,True,2,1,3,68.99,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 1/3：股跌日量低；大陽2根 | 跌市反向：3M 63.3% vs SPY 12.9% | 領先MA：股 $68.99 [10上/20上/50上] 3/3 vs SPY $737.87 [10下/20下/50上] 1/3
ROK,NYSE:ROK,Producer manufacturing,Electrical products,"Rockwell Automation, Inc.",A,W1,True,2,1,3,462.92,W1 2/3：MA轉上；股跌日量低；大陽2根 | D1 1/3：股跌日量低 | 跌市反向：3M 29.8% vs SPY 12.9% | 領先MA：股 $462.92 [10上/20上/50上] 3/3 vs SPY $738.17 [10下/20下/50上] 1/3
SWK,NYSE:SWK,Consumer durables,Tools & hardware,"Stanley Black & Decker, Inc.",A,W1,True,2,1,3,84.38,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 1/3：股跌日量低；大陽2根 | 跌市反向：3M 22.0% vs SPY 12.9% | 領先MA：股 $84.38 [10上/20上/50上] 3/3 vs SPY $737.74 [10下/20下/50上] 1/3
WSM,NYSE:WSM,Retail trade,Specialty stores,"Williams-Sonoma, Inc.",A,W1,True,2,1,3,225.41,W1 2/3：MA轉上；股跌日量低；大陽2根 | D1 1/3：股跌日量低；大陽2根 | 跌市反向：3M 23.2% vs SPY 12.9% | 領先MA：股 $225.41 [10上/20上/50上] 3/3 vs SPY $737.98 [10下/20下/50上] 1/3
WT,NYSE:WT,Miscellaneous,Investment trusts,"WisdomTree, Inc.",A,W1,True,2,1,3,18.81,W1 2/3：MA轉上；股跌日量低；大陽2根 | D1 1/3：股跌日量低 | 跌市反向：3M 39.6% vs SPY 12.9% | 領先MA：股 $18.81 [10上/20上/50上] 3/3 vs SPY $737.97 [10下/20下/50上] 1/3
XMTR,NASDAQ:XMTR,Technology services,Information technology services,"Xometry, Inc.",A,W1,True,2,1,3,92.96,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 1/3：MA轉上；大陽2根 | 跌市反向：3M 124.1% vs SPY 12.9% | 領先MA：股 $92.96 [10上/20上/50上] 3/3 vs SPY $738.22 [10下/20下/50上] 1/3
MUFG,NYSE:MUFG,Finance,Major banks,"Mitsubishi UFJ Financial Group, Inc.",A,W1,True,2,0,2,20.25,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 0/3：大陽2根 | 跌市反向：3M 21.6% vs SPY 12.9% | 領先MA：股 $20.25 [10下/20上/50上] 2/3 vs SPY $737.85 [10下/20下/50上] 1/3
ENPH,NASDAQ:ENPH,Producer manufacturing,Electrical products,"Enphase Energy, Inc.",B,,False,3,2,5,49.97,W1 3/3：MA轉上；量價配合；大陽2根 | D1 2/3：量價配合 | 跌市反向：3M 22.6% vs SPY 12.9% | 領先MA未過：股 $49.97 [10下/20下/50上] 1/3 vs SPY $737.79 [10下/20下/50上] 1/3
F,NYSE:F,Consumer durables,Motor vehicles,Ford Motor Company,B,,False,3,2,5,13.93,W1 3/3：MA轉上；量價配合；大陽2根 | D1 2/3：量價配合 | 跌市反向：3M 19.9% vs SPY 12.9% | 領先MA未過：股 $13.93 [10下/20下/50上] 1/3 vs SPY $738.04 [10下/20下/50上] 1/3
YETI,NYSE:YETI,Producer manufacturing,Miscellaneous manufacturing,"YETI Holdings, Inc.",B,,False,3,2,5,46.84,W1 3/3：MA轉上；量價配合；大陽2根 | D1 2/3：量價配合 | 跌市反向：3M 24.8% vs SPY 12.9% | 領先MA未過：股 $46.84 [10下/20下/50上] 1/3 vs SPY $738.20 [10下/20下/50上] 1/3
AAL,NASDAQ:AAL,Transportation,Airlines,"American Airlines Group, Inc.",B,,False,2,2,4,16.07,W1 2/3：量價配合；大陽2根 | D1 2/3：MA轉上；股升日量高；大陽2根 | W/D 未過 | 跌市反向：3M 48.6% vs SPY 12.9% | 領先MA：股 $16.07 [10上/20上/50上] 3/3 vs SPY $737.95 [10下/20下/50上] 1/3
ACA,NYSE:ACA,Non-energy minerals,Construction materials,"Arcosa, Inc.",B,,False,3,1,4,144.25,W1 3/3：MA轉上；量價配合 | D1 1/3：股跌日量低 | W/D 未過 | 跌市反向：3M 38.4% vs SPY 12.9% | 領先MA：股 $144.25 [10上/20上/50上] 3/3 vs SPY $737.79 [10下/20下/50上] 1/3
ACMR,NASDAQ:ACMR,Producer manufacturing,Industrial machinery,"ACM Research, Inc.",B,,False,3,1,4,99.96,W1 3/3：MA轉上；量價配合 | D1 1/3：股升日量高；大陽3根 | W/D 未過 | 跌市反向：3M 123.0% vs SPY 12.9% | 領先MA：股 $99.96 [10上/20上/50上] 3/3 vs SPY $737.79 [10下/20下/50上] 1/3
ADEA,NASDAQ:ADEA,Technology services,Packaged software,Adeia Inc.,B,,False,2,2,4,30.88,W1 2/3：量價配合；大陽3根 | D1 2/3：量價配合 | W/D 未過 | 跌市反向：3M 26.3% vs SPY 12.9% | 領先MA：股 $30.88 [10下/20上/50上] 2/3 vs SPY $738.06 [10下/20下/50上] 1/3
ALB,NYSE:ALB,Process industries,Chemicals: specialty,Albemarle Corporation,B,,False,2,2,4,151.49,W1 2/3：量價配合；大陽1根 | D1 2/3：量價配合；大陽2根 | W/D 未過 | 未跑贏：3M -9.4% vs SPY 12.9% | 領先MA未過：股 $151.49 [10下/20下/50下] 0/3 vs SPY $737.87 [10下/20下/50上] 1/3
AS,NYSE:AS,Consumer durables,Recreational products,"Amer Sports, Inc.",B,,False,1,3,4,35.36,W1 1/3：股跌日量低 | D1 3/3：MA轉上；量價配合；大陽2根 | 未跑贏：3M 8.1% vs SPY 12.9% | 領先MA未過：股 $35.37 [10下/20下/50上] 1/3 vs SPY $737.87 [10下/20下/50上] 1/3
BE,NYSE:BE,Electronic technology,Electronic production equipment,Bloom Energy Corporation,B,,False,2,2,4,321.16,W1 2/3：量價配合；大陽3根 | D1 2/3：量價配合；大陽2根 | W/D 未過 | 跌市反向：3M 127.1% vs SPY 12.9% | 領先MA：股 $321.01 [10上/20上/50上] 3/3 vs SPY $737.97 [10下/20下/50上] 1/3
CMI,NYSE:CMI,Producer manufacturing,Auto parts: OEM,Cummins Inc.,B,,False,2,2,4,700.34,W1 2/3：量價配合；大陽1根 | D1 2/3：MA轉上；股升日量高 | W/D 未過 | 跌市反向：3M 28.1% vs SPY 12.9% | 領先MA：股 $700.34 [10上/20上/50上] 3/3 vs SPY $737.97 [10下/20下/50上] 1/3
COLD,NYSE:COLD,Finance,Real estate investment trusts,"Americold Realty Trust, Inc.",B,,False,2,2,4,13.91,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 2/3：量價配合 | 跌市反向：3M 26.0% vs SPY 12.9% | 領先MA未過：股 $13.91 [10下/20下/50上] 1/3 vs SPY $738.20 [10下/20下/50上] 1/3
CRBG,NYSE:CRBG,Finance,Life/Health insurance,Corebridge Financial Inc.,B,,False,2,2,4,28.65,W1 2/3：量價配合；大陽2根 | D1 2/3：MA轉上；股跌日量低 | W/D 未過 | 跌市反向：3M 21.9% vs SPY 12.9% | 領先MA：股 $28.66 [10上/20上/50上] 3/3 vs SPY $737.74 [10下/20下/50上] 1/3
DB,NYSE:DB,Finance,Investment banks/Brokers,Deutsche Bank AG,B,,False,1,3,4,35.23,W1 1/3：股跌日量低 | D1 3/3：MA轉上；量價配合 | W/D 未過 | 跌市反向：3M 24.8% vs SPY 12.9% | 領先MA：股 $35.23 [10上/20上/50上] 3/3 vs SPY $738.04 [10下/20下/50上] 1/3
FIX,NYSE:FIX,Industrial services,Engineering & construction,"Comfort Systems USA, Inc.",B,,False,2,2,4,1959.37,W1 2/3：量價配合；大陽1根 | D1 2/3：MA轉上；股升日量高；大陽3根 | W/D 未過 | 跌市反向：3M 39.2% vs SPY 12.9% | 領先MA：股 $1959.37 [10上/20上/50上] 3/3 vs SPY $738.04 [10下/20下/50上] 1/3
GTX,NASDAQ:GTX,Producer manufacturing,Auto parts: OEM,Garrett Motion Inc.,B,,False,2,2,4,33.99,W1 2/3：量價配合；大陽2根 | D1 2/3：MA轉上；股跌日量低 | W/D 未過 | 跌市反向：3M 89.7% vs SPY 12.9% | 領先MA：股 $33.99 [10上/20上/50上] 3/3 vs SPY $738.13 [10下/20下/50上] 1/3
HGV,NYSE:HGV,Finance,Real estate development,Hilton Grand Vacations Inc.,B,,False,2,2,4,51.67,W1 2/3：MA轉上；股升日量高；大陽2根 | D1 2/3：MA轉上；股升日量高 | W/D 未過 | 跌市反向：3M 24.1% vs SPY 12.9% | 領先MA：股 $51.67 [10上/20上/50上] 3/3 vs SPY $738.20 [10下/20下/50上] 1/3
HOOD,NASDAQ:HOOD,Finance,Investment banks/Brokers,"Robinhood Markets, Inc.",B,,False,2,2,4,104.6,W1 2/3：量價配合；大陽2根 | D1 2/3：量價配合；大陽4根 | W/D 未過 | 跌市反向：3M 44.3% vs SPY 12.9% | 領先MA：股 $104.60 [10上/20上/50上] 3/3 vs SPY $737.97 [10下/20下/50上] 1/3
MCHP,NASDAQ:MCHP,Electronic technology,Semiconductors,Microchip Technology Incorporated,B,,False,2,2,4,97.27,W1 2/3：量價配合；大陽3根 | D1 2/3：MA轉上；股升日量高 | W/D 未過 | 跌市反向：3M 51.9% vs SPY 12.9% | 領先MA：股 $97.27 [10上/20上/50上] 3/3 vs SPY $738.17 [10下/20下/50上] 1/3
MT,NYSE:MT,Non-energy minerals,Steel,Arcelor Mittal NY Registry Shares NEW,B,,False,3,1,4,62.69,W1 3/3：MA轉上；量價配合；大陽1根 | D1 1/3：股升日量高；大陽2根 | 跌市反向：3M 21.7% vs SPY 12.9% | 領先MA未過：股 $62.69 [10下/20下/50下] 0/3 vs SPY $738.17 [10下/20下/50上] 1/3
MTSI,NASDAQ:MTSI,Electronic technology,Semiconductors,"MACOM Technology Solutions Holdings, Inc.",B,,False,2,2,4,381.74,W1 2/3：量價配合；大陽1根 | D1 2/3：MA轉上；股升日量高 | W/D 未過 | 跌市反向：3M 66.5% vs SPY 12.9% | 領先MA：股 $381.74 [10上/20上/50上] 3/3 vs SPY $738.15 [10下/20下/50上] 1/3
NUVL,NASDAQ:NUVL,Health technology,Pharmaceuticals: major,"Nuvalent, Inc.",B,,False,2,2,4,123.51,W1 2/3：MA轉上；股升日量高；大陽3根 | D1 2/3：MA轉上；股升日量高 | W/D 未過 | 跌市反向：3M 28.1% vs SPY 12.9% | 領先MA：股 $123.51 [10上/20上/50上] 3/3 vs SPY $737.95 [10下/20下/50上] 1/3
OKTA,NASDAQ:OKTA,Technology services,Packaged software,"Okta, Inc.",B,,False,2,2,4,116.11,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 2/3：量價配合；大陽2根 | 跌市反向：3M 43.2% vs SPY 12.9% | 領先MA未過：股 $116.11 [10下/20下/50上] 1/3 vs SPY $737.87 [10下/20下/50上] 1/3
RCL,NYSE:RCL,Consumer services,Hotels/Resorts/Cruise lines,Royal Caribbean Cruises Ltd.,B,,False,2,2,4,296.41,W1 2/3：量價配合；大陽1根 | D1 2/3：量價配合 | W/D 未過 | 未跑贏：3M 6.8% vs SPY 12.9% | 領先MA：股 $296.48 [10下/20上/50上] 2/3 vs SPY $737.93 [10下/20下/50上] 1/3
SAN,NYSE:SAN,Finance,Major banks,"Banco Santander, S.A. Sponsored",B,,False,2,2,4,13.53,W1 2/3：MA轉上；股跌日量低 | D1 2/3：MA轉上；股跌日量低 | W/D 未過 | 跌市反向：3M 22.8% vs SPY 12.9% | 領先MA：股 $13.53 [10上/20上/50上] 3/3 vs SPY $737.97 [10下/20下/50上] 1/3
SNOW,NYSE:SNOW,Technology services,Packaged software,Snowflake Inc.,B,,False,2,2,4,226.48,W1 2/3：量價配合；大陽2根 | D1 2/3：量價配合；大陽2根 | W/D 未過 | 跌市反向：3M 30.0% vs SPY 12.9% | 領先MA未過：股 $226.48 [10下/20下/50上] 1/3 vs SPY $737.93 [10下/20下/50上] 1/3
SQM,NYSE:SQM,Process industries,Chemicals: specialty,Sociedad Quimica y Minera S.A.,B,,False,2,2,4,76.93,W1 2/3：量價配合 | D1 2/3：量價配合；大陽2根 | W/D 未過 | 未跑贏：3M 3.2% vs SPY 12.9% | 領先MA未過：股 $76.93 [10下/20下/50下] 0/3 vs SPY $737.87 [10下/20下/50上] 1/3
TKR,NYSE:TKR,Producer manufacturing,Industrial machinery,Timken Company (The),B,,False,2,2,4,138.55,W1 2/3：量價配合；大陽1根 | D1 2/3：量價配合；大陽2根 | W/D 未過 | 跌市反向：3M 40.4% vs SPY 12.9% | 領先MA：股 $138.55 [10下/20上/50上] 2/3 vs SPY $737.95 [10下/20下/50上] 1/3
TLN,NASDAQ:TLN,Utilities,Alternative power generation,Talen Energy Corporation,B,,False,2,2,4,419.0,W1 2/3：量價配合；大陽3根 | D1 2/3：MA轉上；股升日量高 | W/D 未過 | 跌市反向：3M 34.7% vs SPY 12.9% | 領先MA：股 $419.00 [10上/20上/50上] 3/3 vs SPY $737.87 [10下/20下/50上] 1/3
USAR,NASDAQ:USAR,Producer manufacturing,Metal fabrication,"USA Rare Earth, Inc.",B,,False,3,1,4,24.61,W1 3/3：MA轉上；量價配合 | D1 1/3：股跌日量低 | W/D 未過 | 跌市反向：3M 41.5% vs SPY 12.9% | 領先MA：股 $24.61 [10上/20下/50上] 2/3 vs SPY $738.12 [10下/20下/50上] 1/3
VECO,NASDAQ:VECO,Electronic technology,Electronic production equipment,Veeco Instruments Inc.,B,,False,2,2,4,74.57,W1 2/3：量價配合；大陽3根 | D1 2/3：量價配合；大陽2根 | W/D 未過 | 跌市反向：3M 136.0% vs SPY 12.9% | 領先MA：股 $74.57 [10下/20上/50上] 2/3 vs SPY $738.22 [10下/20下/50上] 1/3
AAOI,NASDAQ:AAOI,Electronic technology,Semiconductors,"Applied Optoelectronics, Inc.",B,,False,2,1,3,158.73,W1 2/3：量價配合；大陽1根 | D1 1/3：股升日量高；大陽2根 | W/D 未過 | 跌市反向：3M 65.8% vs SPY 12.9% | 領先MA未過：股 $158.73 [10下/20下/50下] 0/3 vs SPY $737.98 [10下/20下/50上] 1/3
AAON,NASDAQ:AAON,Producer manufacturing,Industrial machinery,"AAON, Inc.",B,,False,2,1,3,130.53,W1 2/3：MA轉上；股跌日量低；大陽2根 | D1 1/3：股跌日量低 | 跌市反向：3M 62.7% vs SPY 12.9% | 領先MA未過：股 $130.53 [10下/20下/50上] 1/3 vs SPY $737.95 [10下/20下/50上] 1/3
AEHR,NASDAQ:AEHR,Electronic technology,Electronic production equipment,Aehr Test Systems,B,,False,2,1,3,104.32,W1 2/3：量價配合；大陽1根 | D1 1/3：股跌日量低；大陽2根 | W/D 未過 | 跌市反向：3M 180.8% vs SPY 12.9% | 領先MA未過：股 $104.32 [10下/20下/50上] 1/3 vs SPY $738.06 [10下/20下/50上] 1/3
ALGN,NASDAQ:ALGN,Health technology,Medical specialties,"Align Technology, Inc.",B,,False,1,2,3,171.78,W1 1/3：股跌日量低；大陽1根 | D1 2/3：量價配合 | W/D 未過 | 未跑贏：3M -5.0% vs SPY 12.9% | 領先MA未過：股 $171.78 [10下/20下/50下] 0/3 vs SPY $737.74 [10下/20下/50上] 1/3
AMAT,NASDAQ:AMAT,Producer manufacturing,Industrial machinery,"Applied Materials, Inc.",B,,False,2,1,3,588.38,W1 2/3：量價配合；大陽3根 | D1 1/3：股升日量高；大陽2根 | W/D 未過 | 跌市反向：3M 62.8% vs SPY 12.9% | 領先MA：股 $588.38 [10上/20上/50上] 3/3 vs SPY $737.96 [10下/20下/50上] 1/3
ARM,NASDAQ:ARM,Electronic technology,Semiconductors,Arm Holdings plc,B,,False,1,2,3,386.43,W1 1/3：股升日量高；大陽2根 | D1 2/3：量價配合 | W/D 未過 | 跌市反向：3M 182.3% vs SPY 12.9% | 領先MA：股 $386.40 [10上/20上/50上] 3/3 vs SPY $737.96 [10下/20下/50上] 1/3
ARWR,NASDAQ:ARWR,Health technology,Biotechnology,"Arrowhead Pharmaceuticals, Inc.",B,,False,1,2,3,81.81,W1 1/3：股跌日量低；大陽2根 | D1 2/3：MA轉上；股跌日量低 | W/D 未過 | 跌市反向：3M 44.4% vs SPY 12.9% | 領先MA：股 $81.81 [10上/20上/50上] 3/3 vs SPY $737.95 [10下/20下/50上] 1/3
ASH,NYSE:ASH,Consumer non-durables,Food: specialty/candy,Ashland Inc.,B,,False,2,1,3,65.21,W1 2/3：MA轉上；股升日量高；大陽1根 | D1 1/3：股跌日量低；大陽2根 | W/D 未過 | 跌市反向：3M 31.6% vs SPY 12.9% | 領先MA：股 $65.21 [10下/20上/50上] 2/3 vs SPY $738.06 [10下/20下/50上] 1/3
ASML,NASDAQ:ASML,Electronic technology,Semiconductors,ASML Holding N.V. - New York Registry Shares,B,,False,2,1,3,1806.76,W1 2/3：量價配合；大陽2根 | D1 1/3：股升日量高；大陽2根 | W/D 未過 | 跌市反向：3M 32.2% vs SPY 12.9% | 領先MA：股 $1806.49 [10下/20上/50上] 2/3 vs SPY $737.96 [10下/20下/50上] 1/3
ATRO,NASDAQ:ATRO,Electronic technology,Aerospace & defense,Astronics Corporation,B,,False,2,1,3,81.88,W1 2/3：MA轉上；股跌日量低 | D1 1/3：股跌日量低；大陽2根 | W/D 未過 | 跌市反向：3M 55.4% vs SPY 12.9% | 領先MA：股 $81.88 [10上/20上/50上] 3/3 vs SPY $738.06 [10下/20下/50上] 1/3
AXP,NYSE:AXP,Finance,Finance/Rental/Leasing,American Express Company,B,,False,1,2,3,335.54,W1 1/3：股跌日量低；大陽1根 | D1 2/3：MA轉上；股跌日量低；大陽2根 | 未跑贏：3M 11.5% vs SPY 12.9% | 領先MA：股 $335.54 [10上/20上/50上] 3/3 vs SPY $737.85 [10下/20下/50上] 1/3
AXTI,NASDAQ:AXTI,Electronic technology,Electronic production equipment,AXT Inc,B,,False,2,1,3,84.02,W1 2/3：量價配合 | D1 1/3：股跌日量低 | W/D 未過 | 跌市反向：3M 30.4% vs SPY 12.9% | 領先MA未過：股 $84.02 [10下/20下/50下] 0/3 vs SPY $738.13 [10下/20下/50上] 1/3
BBY,NYSE:BBY,Retail trade,Electronics/Appliance stores,"Best Buy Co., Inc.",B,,False,1,2,3,73.98,W1 1/3：股跌日量低；大陽3根 | D1 2/3：量價配合；大陽3根 | W/D 未過 | 跌市反向：3M 18.9% vs SPY 12.9% | 領先MA：股 $73.98 [10下/20上/50上] 2/3 vs SPY $737.98 [10下/20下/50上] 1/3
BDC,NYSE:BDC,Producer manufacturing,Electrical products,Belden Inc,B,,False,1,2,3,119.33,W1 1/3：股升日量高；大陽1根 | D1 2/3：量價配合；大陽2根 | W/D 未過 | 未跑贏：3M 1.5% vs SPY 12.9% | 領先MA：股 $119.33 [10上/20上/50上] 3/3 vs SPY $738.22 [10下/20下/50上] 1/3
BTDR,NASDAQ:BTDR,Technology services,Data processing services,Bitdeer Technologies Group,B,,False,2,1,3,17.55,W1 2/3：量價配合；大陽2根 | D1 1/3：股升日量高 | W/D 未過 | 跌市反向：3M 103.4% vs SPY 12.9% | 領先MA未過：股 $17.55 [10下/20下/50上] 1/3 vs SPY $738.20 [10下/20下/50上] 1/3
CCL,NYSE:CCL,Consumer services,Hotels/Resorts/Cruise lines,Carnival Corporation Ltd.,B,,False,1,2,3,27.95,W1 1/3：股跌日量低 | D1 2/3：量價配合 | W/D 未過 | 未跑贏：3M 10.5% vs SPY 12.9% | 領先MA未過：股 $27.95 [10下/20下/50上] 1/3 vs SPY $738.17 [10下/20下/50上] 1/3
CDNS,NASDAQ:CDNS,Technology services,Packaged software,"Cadence Design Systems, Inc.",B,,False,2,1,3,384.74,W1 2/3：量價配合；大陽1根 | D1 1/3：股升日量高 | W/D 未過 | 跌市反向：3M 31.5% vs SPY 12.9% | 領先MA未過：股 $384.74 [10下/20下/50上] 1/3 vs SPY $737.97 [10下/20下/50上] 1/3
CROX,NASDAQ:CROX,Consumer non-durables,Apparel/Footwear,"Crocs, Inc.",B,,False,2,1,3,120.82,W1 2/3：量價配合；大陽2根 | D1 1/3：股跌日量低；大陽2根 | W/D 未過 | 跌市反向：3M 51.6% vs SPY 12.9% | 領先MA未過：股 $120.82 [10下/20下/50上] 1/3 vs SPY $738.13 [10下/20下/50上] 1/3
CRUS,NASDAQ:CRUS,Electronic technology,Semiconductors,"Cirrus Logic, Inc.",B,,False,2,1,3,161.46,W1 2/3：量價配合；大陽1根 | D1 1/3：股跌日量低 | W/D 未過 | 跌市反向：3M 18.0% vs SPY 12.9% | 領先MA未過：股 $161.46 [10下/20下/50下] 0/3 vs SPY $737.87 [10下/20下/50上] 1/3
DAL,NYSE:DAL,Transportation,Airlines,"Delta Air Lines, Inc.",B,,False,2,1,3,85.96,W1 2/3：MA轉上；股跌日量低 | D1 1/3：股跌日量低 | W/D 未過 | 跌市反向：3M 32.3% vs SPY 12.9% | 領先MA：股 $85.96 [10上/20上/50上] 3/3 vs SPY $738.04 [10下/20下/50上] 1/3
DIOD,NASDAQ:DIOD,Electronic technology,Semiconductors,Diodes Incorporated,B,,False,1,2,3,115.44,W1 1/3：股升日量高；大陽2根 | D1 2/3：量價配合；大陽2根 | W/D 未過 | 跌市反向：3M 69.6% vs SPY 12.9% | 領先MA：股 $115.44 [10上/20上/50上] 3/3 vs SPY $738.12 [10下/20下/50上] 1/3
ELAN,NYSE:ELAN,Health technology,Biotechnology,Elanco Animal Health Incorporated,B,,False,2,1,3,23.85,W1 2/3：量價配合 | D1 1/3：股跌日量低 | W/D 未過 | 未跑贏：3M -2.4% vs SPY 12.9% | 領先MA未過：股 $23.85 [10下/20下/50上] 1/3 vs SPY $737.95 [10下/20下/50上] 1/3
ENVA,NYSE:ENVA,Finance,Finance/Rental/Leasing,"Enova International, Inc.",B,,False,2,1,3,208.03,W1 2/3：量價配合；大陽2根 | D1 1/3：股升日量高；大陽4根 | W/D 未過 | 跌市反向：3M 51.5% vs SPY 12.9% | 領先MA：股 $208.03 [10上/20上/50上] 3/3 vs SPY $738.22 [10下/20下/50上] 1/3
FCX,NYSE:FCX,Non-energy minerals,Other metals/Minerals,"Freeport-McMoRan, Inc.",B,,False,2,1,3,65.87,W1 2/3：MA轉上；股跌日量低；大陽1根 | D1 1/3：股跌日量低；大陽3根 | 跌市反向：3M 20.2% vs SPY 12.9% | 領先MA未過：股 $65.87 [10下/20下/50上] 1/3 vs SPY $737.97 [10下/20下/50上] 1/3
FDX,NYSE:FDX,Transportation,Air freight/Couriers,FedEx Corporation,B,,False,1,2,3,326.49,W1 1/3：股跌日量低 | D1 2/3：量價配合；大陽2根 | W/D 未過 | 跌市反向：3M 14.3% vs SPY 12.9% | 領先MA未過：股 $326.49 [10下/20下/50上] 1/3 vs SPY $737.93 [10下/20下/50上] 1/3
GS,NYSE:GS,Finance,Investment banks/Brokers,"Goldman Sachs Group, Inc. (The)",B,,False,2,1,3,1091.17,W1 2/3：MA轉上；股跌日量低 | D1 1/3：股升日量高；大陽3根 | W/D 未過 | 跌市反向：3M 31.8% vs SPY 12.9% | 領先MA：股 $1091.17 [10上/20上/50上] 3/3 vs SPY $737.85 [10下/20下/50上] 1/3
HBM,NYSE:HBM,Non-energy minerals,Other metals/Minerals,Hudbay Minerals Inc.,B,,False,2,1,3,25.87,W1 2/3：MA轉上；股跌日量低 | D1 1/3：股升日量高 | W/D 未過 | 跌市反向：3M 37.3% vs SPY 12.9% | 領先MA未過：股 $25.87 [10下/20下/50上] 1/3 vs SPY $737.95 [10下/20下/50上] 1/3
HIMX,NASDAQ:HIMX,Electronic technology,Semiconductors,"Himax Technologies, Inc.",B,,False,2,1,3,17.51,W1 2/3：量價配合；大陽3根 | D1 1/3：股跌日量低 | W/D 未過 | 跌市反向：3M 101.7% vs SPY 12.9% | 領先MA未過：股 $17.51 [10下/20下/50上] 1/3 vs SPY $738.06 [10下/20下/50上] 1/3
HNGE,NYSE:HNGE,Technology services,Packaged software,"Hinge Health, Inc.",B,,False,2,1,3,69.22,W1 2/3：量價配合；大陽2根 | D1 1/3：股升日量高 | W/D 未過 | 跌市反向：3M 64.4% vs SPY 12.9% | 領先MA：股 $69.22 [10上/20上/50上] 3/3 vs SPY $738.12 [10下/20下/50上] 1/3
HRI,NYSE:HRI,Finance,Finance/Rental/Leasing,Herc Holdings Inc.,B,,False,1,2,3,145.89,W1 1/3：股跌日量低 | D1 2/3：量價配合；大陽2根 | W/D 未過 | 跌市反向：3M 40.8% vs SPY 12.9% | 領先MA：股 $145.89 [10下/20上/50上] 2/3 vs SPY $738.22 [10下/20下/50上] 1/3
ICHR,NASDAQ:ICHR,Producer manufacturing,Industrial machinery,Ichor Holdings,B,,False,1,2,3,93.24,W1 1/3：股升日量高；大陽1根 | D1 2/3：量價配合 | W/D 未過 | 跌市反向：3M 91.2% vs SPY 12.9% | 領先MA：股 $93.24 [10上/20上/50上] 3/3 vs SPY $738.06 [10下/20下/50上] 1/3
INOD,NASDAQ:INOD,Technology services,Data processing services,Innodata Inc.,B,,False,2,1,3,89.53,W1 2/3：MA轉上；股跌日量低；大陽2根 | D1 1/3：股跌日量低；大陽2根 | 跌市反向：3M 99.2% vs SPY 12.9% | 領先MA未過：股 $89.53 [10下/20下/50上] 1/3 vs SPY $738.06 [10下/20下/50上] 1/3
IONQ,NYSE:IONQ,Electronic technology,Computer processing hardware,"IonQ, Inc.",B,,False,2,1,3,60.94,W1 2/3：量價配合；大陽2根 | D1 1/3：股跌日量低 | W/D 未過 | 跌市反向：3M 84.1% vs SPY 12.9% | 領先MA：股 $60.94 [10上/20下/50上] 2/3 vs SPY $737.98 [10下/20下/50上] 1/3
IREN,NASDAQ:IREN,Technology services,Data processing services,IREN Limited,B,,False,2,1,3,56.42,W1 2/3：MA轉上；股升日量高；大陽2根 | D1 1/3：股升日量高；大陽2根 | W/D 未過 | 跌市反向：3M 33.8% vs SPY 12.9% | 領先MA未過：股 $56.43 [10下/20下/50上] 1/3 vs SPY $737.87 [10下/20下/50上] 1/3
ITT,NYSE:ITT,Producer manufacturing,Auto parts: OEM,ITT Inc.,B,,False,1,2,3,195.46,W1 1/3：股跌日量低；大陽1根 | D1 2/3：量價配合 | W/D 未過 | 未跑贏：3M 4.2% vs SPY 12.9% | 領先MA：股 $195.46 [10上/20上/50下] 2/3 vs SPY $737.87 [10下/20下/50上] 1/3
