symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
TTWO,NASDAQ:TTWO,Technology services,Packaged software,"Take-Two Interactive Software, Inc.",C,,False,0,1,1,243.96,W1 0/3：大陽2根 | D1 1/3：股升日量高；大陽2根 | W/D 未過 | 跌市反向：3M 21.5% vs SPY 12.9% | 領先MA：股 $243.96 [10上/20上/50上] 3/3 vs SPY $738.17 [10下/20下/50上] 1/3
TVTX,NASDAQ:TVTX,Health technology,Pharmaceuticals: major,"Travere Therapeutics, Inc.",C,,False,0,1,1,55.74,W1 0/3：大陽1根 | D1 1/3：股跌日量低；大陽3根 | W/D 未過 | 跌市反向：3M 100.9% vs SPY 12.9% | 領先MA：股 $55.74 [10上/20上/50上] 3/3 vs SPY $738.12 [10下/20下/50上] 1/3
UCTT,NASDAQ:UCTT,Producer manufacturing,Industrial machinery,"Ultra Clean Holdings, Inc.",C,,False,1,0,1,113.79,W1 1/3：股跌日量低；大陽2根 | D1 0/3：大陽2根 | W/D 未過 | 跌市反向：3M 86.2% vs SPY 12.9% | 領先MA：股 $113.79 [10上/20上/50上] 3/3 vs SPY $738.12 [10下/20下/50上] 1/3
VIAV,NASDAQ:VIAV,Technology services,Information technology services,Viavi Solutions Inc.,C,,False,0,1,1,50.7,W1 0/3：未達 | D1 1/3：MA轉上；大陽2根 | W/D 未過 | 跌市反向：3M 50.8% vs SPY 12.9% | 領先MA：股 $50.70 [10上/20上/50上] 3/3 vs SPY $737.74 [10下/20下/50上] 1/3
AAPL,NASDAQ:AAPL,Electronic technology,Telecommunications equipment,Apple Inc.,C,,False,0,0,0,299.34,W1 0/3：未達 | D1 0/3：未達 | W/D 未過 | 跌市反向：3M 19.1% vs SPY 12.9% | 領先MA：股 $299.33 [10上/20下/50上] 2/3 vs SPY $737.96 [10下/20下/50上] 1/3
AMSC,NASDAQ:AMSC,Producer manufacturing,Electrical products,American Superconductor Corporation,C,,False,0,0,0,43.69,W1 0/3：大陽1根 | D1 0/3：未達 | W/D 未過 | 跌市反向：3M 41.9% vs SPY 12.9% | 領先MA未過：股 $43.69 [10上/20下/50下] 1/3 vs SPY $737.97 [10下/20下/50上] 1/3
BTSG,NASDAQ:BTSG,Health services,Medical/Nursing services,"BrightSpring Health Services, Inc.",C,,False,0,0,0,67.12,W1 0/3：未達 | D1 0/3：未達 | W/D 未過 | 跌市反向：3M 59.4% vs SPY 12.9% | 領先MA：股 $67.12 [10上/20上/50上] 3/3 vs SPY $737.74 [10下/20下/50上] 1/3
BWXT,NYSE:BWXT,Electronic technology,Aerospace & defense,"BWX Technologies, Inc.",C,,False,0,0,0,211.9,W1 0/3：未達 | D1 0/3：大陽3根 | W/D 未過 | 未跑贏：3M 3.6% vs SPY 12.9% | 領先MA：股 $211.90 [10上/20上/50上] 3/3 vs SPY $737.87 [10下/20下/50上] 1/3
CCJ,NYSE:CCJ,Non-energy minerals,Other metals/Minerals,Cameco Corporation,C,,False,0,0,0,108.45,W1 0/3：未達 | D1 0/3：未達 | W/D 未過 | 未跑贏：3M 2.7% vs SPY 12.9% | 領先MA：股 $108.45 [10上/20上/50下] 2/3 vs SPY $738.17 [10下/20下/50上] 1/3
CLSK,NASDAQ:CLSK,Technology services,Data processing services,"CleanSpark, Inc.",C,,False,0,0,0,18.14,W1 0/3：大陽2根 | D1 0/3：大陽2根 | W/D 未過 | 跌市反向：3M 81.8% vs SPY 12.9% | 領先MA：股 $18.14 [10上/20上/50上] 3/3 vs SPY $738.22 [10下/20下/50上] 1/3
CRWD,NASDAQ:CRWD,Technology services,Packaged software,"CrowdStrike Holdings, Inc.",C,,False,0,0,0,681.53,W1 0/3：大陽1根 | D1 0/3：大陽4根 | W/D 未過 | 跌市反向：3M 64.9% vs SPY 12.9% | 領先MA：股 $681.53 [10上/20下/50上] 2/3 vs SPY $737.97 [10下/20下/50上] 1/3
